Color Group Name,MENS SHIRTS,WOMENS SHIRTS,URL - Collections,Color group description,Color Set name,Item Name ORGANO,Color name URL
SUNNY RAY,https://organolinen.com/products/mens-linen-shirt-yellow-sunny,https://organolinen.com/products/sunny-women-linen-shirt-yellow,https://organolinen.com/collections/sunny-ray-yellow-linen-collection,Yellow but darker hues,SUNNY RAY,Golden Haze,https://organolinen.com/collections/sunny-ray-yellow-linen-collection
HARBOR TIDE,https://organolinen.com/products/mens-linen-shirt-blue-harbor,https://organolinen.com/products/womens-linen-shirt-harbor-blue,https://organolinen.com/collections/harbor-tide-blue-linen-collection,True blue variations,SUNNY RAY,Sunlime Yellow,https://organolinen.com/collections/sunny-ray-yellow-linen-collection
SUNNY SHINE,https://organolinen.com/products/mens-linen-shirt-yellow-sunny,https://organolinen.com/products/sunny-women-linen-shirt-yellow,https://organolinen.com/collections/sunny-shine-yellow-linen-collection,Yellow but Light Shades,SUNNY RAY,Dandelion Spark,https://organolinen.com/collections/sunny-ray-yellow-linen-collection
FORREST LAKE,https://organolinen.com/products/mens-linen-shirt-green-forrest,https://organolinen.com/products/mens-linen-shirt-green-forrest,https://organolinen.com/collections/forest-lake-green-linen-shirting,Shades of Green and Greenish blue,SUNNY RAY,Sunbeam Gold,https://organolinen.com/collections/sunny-ray-yellow-linen-collection
EMBER GLOW,https://organolinen.com/products/mens-linen-shirt-ember-red,https://organolinen.com/products/ladies-linen-shirt-ember,https://organolinen.com/collections/ember-glow-red-linen-shirting,Shades of Red ,SUNNY RAY,Dandelion Yellow,https://organolinen.com/collections/sunny-ray-yellow-linen-collection
OBSIDIAN RAVEN,https://organolinen.com/products/mens-linen-heavy-shirt-raven,https://organolinen.com/products/womens-heavy-linen-shirt-raven,https://organolinen.com/collections/obsidian-raven-linen-collection,"Dark colors including Black, Wine red, Navy Blue, Dark brown",HARBOR TIDE,Velours Royal,https://organolinen.com/collections/harbor-tide-blue-linen-collection
URBAN MYST,https://organolinen.com/products/myst-pure-linen-shirt,https://organolinen.com/products/myst-pure-linen-shirt,https://organolinen.com/collections/urban-myst-linen-collection,Grey and Steelish color,HARBOR TIDE,Deep Ocean,https://organolinen.com/collections/harbor-tide-blue-linen-collection
DUNE DUST,https://organolinen.com/products/dune-linen-shirt-men-tan,https://organolinen.com/products/dune-linen-shirt-men-tan,https://organolinen.com/collections/dune-dust-shirts-linen,TAn and Earthy colors,HARBOR TIDE,Soft Ocean,https://organolinen.com/collections/harbor-tide-blue-linen-collection
HARVEST AUTUMN,https://organolinen.com/products/mens-pumpkin-harvest-linen-shirt,https://organolinen.com/products/womens-pink-linen-shirt-harvest,https://organolinen.com/collections/harvest-autumn-linen-shirting-collection,Earthy hues with a Autumn Pumpkin Touch,HARBOR TIDE,Violet Blue,https://organolinen.com/collections/harbor-tide-blue-linen-collection
DUNE EARTH,https://organolinen.com/products/dune-linen-shirt-men-tan,https://organolinen.com/products/dune-linen-shirt-men-tan,https://organolinen.com/collections/dune-earth-linen-shirts,Earthy Hues,HARBOR TIDE,Twilight Ink,https://organolinen.com/collections/harbor-tide-blue-linen-collection
